F_BUS;T_BUS;BR_R;BR_X;BR_B;RATE_A;RATE_B;RATE_C;TAP;SHIFT;BR_STATUS;ANGMIN;ANGMAX;PF;QF;PT;QT;MU_SF;MU_ST;MU_ANGMIN;MU_ANGMAX
r1v0.415b5;r1v0.415b41;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b6;r1v0.415b42;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b6;r1v0.415b43;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b6;r1v0.415b44;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b8;r1v11.0b9;0.000216942;0.000312397;0;8.859439881;8.859439881;8.859439881;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b9;r1v11.0b10;0.002582645;0.003719008;0;8.859439881;8.859439881;8.859439881;0;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b1;r2v11.0b2;0.003061983;0.00392562;0;11.43153533;11.43153533;11.43153533;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b2;r2v11.0b3;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b2;r2v11.0b5;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b2;r2v11.0b7;0.00572314;0.004578512;0;8.669;8.669;8.669;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b7;r2v11.0b8;0.0002893;0.000231405;0;8.669;8.669;8.669;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b8;r2v11.0b9;0.004178512;0.000783471;0;3.23893501;3.23893501;3.23893501;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b10;r2v11.0b2;0.00268595;0.003867769;0;8.859;8.859;8.859;1;0;0;0;0;0;0;0;0;0;0;0;0
r2v47.0b1;r2v11.0b1;0;0;0;15;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b3;r2v11.0b4;0;0;0;1.25;1.25;1.25;0;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b5;r2v11.0b6;0;0;0;1.25;1.25;1.25;0;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b7;r2v0.415b1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b8;r2v0.415b7;0;0;0;1.6;1.6;1.6;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b9;r2v0.415b2;0;0;0;1.6;1.6;1.6;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b4;r2v0.415b3;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v11.0b6;r2v0.415b4;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v0.415b1;r2v0.415b5;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v0.415b1;r2v0.415b6;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r2v0.415b2;r2v0.415b8;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
